,,,,,,,,,,,
name, state,location,course_level,fees,branches,", min_score", max_score, review_text, rating.,,
C. V. Raman Global University,Odisha, Bhubaneswar,UG,1200000,Electronics & Telecommunication Engineering,929068,929068,good,3.5,,
Capital Engineering College,Odisha, Khurda,UG,1200000,Civil Engineering,1103035,1104901,good,3.5,,
Capital Engineering College,Odisha, Khurda,UG,1200000,Computer Science and Engineering,577755,1104813,good,3.5,,
Capital Engineering College,Odisha, Khurda,UG,1200000,Electrical and Electronics Engineering,1100508,1105964,good,3.5,,
Capital Engineering College,Odisha, Khurda,UG,1200000,Electrical Engineering,1101121,1106471,good,3.5,,
Capital Engineering College,Odisha, Khurda,UG,1200000,Mechanical Engineering,1103988,1105975,good,3.5,,
College of Engineering,Odisha, Bhubaneswar,UG,1200000,Civil Engineering,898022,1015835,good,3.5,,
College of Engineering,Odisha, Bhubaneswar,UG,1200000,Computer Science and Engineering,361740,999936,good,3.5,,
College of Engineering,Odisha, Bhubaneswar,UG,1200000,Electronics & Telecommunication Engineering,1101534,1101534,good,3.5,,
College of Engineering,Odisha, Bhubaneswar,UG,1200000,Mechanical Engineering,1105893,1105893,good,3.5,,
DRIEMS,Odisha, Cuttack,UG,1200000,Civil Engineering,1103902,1106037,good,3.5,,
DRIEMS,Odisha, Cuttack,UG,1200000,Computer Science and Engineering,672919,1106068,good,3.5,,
DRIEMS,Odisha, Cuttack,UG,1200000,Electrical and Electronics Engineering,564145,1104706,good,3.5,,
DRIEMS,Odisha, Cuttack,UG,1200000,Electrical Engineering,1100403,1102453,good,3.5,,
DRIEMS,Odisha, Cuttack,UG,1200000,Electronics & Telecommunication Engineering,1101714,1101714,good,3.5,,
DRIEMS,Odisha, Cuttack,UG,200000,Mechanical Engineering,839978,1105419,good,3.5,,
Eastern Academy of Science and Technology,Odisha, Phulanakhara,UG,200000,Computer Science and Engineering,1105302,1106379,good,3.5,,
Eastern Academy of Science and Technology,Odisha, Phulanakhara,UG,200000,Electrical Engineering,1105176,1106588,good,3.5,,
Eastern Academy of Science and Technology,Odisha, Phulanakhara,UG,200000,Mechanical Engineering,1104406,1104406,good,3.5,,
Einstein Academy of Technology and Management,Odisha, Baniatangi,UG,200000,Civil Engineering,1007550,1106389,good,3.5,,
Einstein Academy of Technology and Management,Odisha, Baniatangi,UG,200000,Computer Science and Engineering,622963,1106347,good,3.5,,
Einstein Academy of Technology and Management,Odisha, Baniatangi,UG,200000,Mechanical Engineering,836319,1106059,good,3.5,,
Gandhi Academy of Technology and Engineering,Odisha, Berhampur,UG,200000,Civil Engineering,1102227,1104405,good,3.5,,
Gandhi Academy of Technology and Engineering,Odisha, Berhampur,UG,200000,Computer Science and Engineering,554990,1106530,good,3.5,,
Gandhi Academy of Technology and Engineering,Odisha, Berhampur,UG,200000,Electrical Engineering,1102975,1106257,good,3.5,,
Gandhi Academy of Technology and Engineering,Odisha, Berhampur,UG,200000,Electronics & Communication Engineering,416291,1105016,good,3.5,,
Gandhi Academy of Technology and Engineering,Odisha, Berhampur,UG,200000,Mechanical Engineering,1101059,1105857,good,3.5,,
Gandhi Engineering College,Odisha, Bhubaneswar,UG,200000,Civil Engineering,1103041,1104678,good,4.5,,
Gandhi Engineering College,Odisha, Bhubaneswar,UG,200000,Computer Science and Engineering,417675,1105515,good,4.5,,
Gandhi Engineering College,Odisha, Bhubaneswar,UG,200000,Electrical and Computer Engineering,837787,1104332,good,4.5,,
Gandhi Engineering College,Odisha, Bhubaneswar,UG,200000,Electronics & Communication Engineering,1105036,1106514,good,4.5,,
Gandhi Engineering College,Odisha, Bhubaneswar,UG,200000,Electronics and Computer Engineering,895213,1104239,good,4.5,,
Gandhi Engineering College,Odisha, Bhubaneswar,UG,200000,Mechanical Engineering,754524,1106593,good,4.5,,
Gandhi Institute for Education and Technology,Odisha, Khurda,UG,200000,Civil Engineering,880599,1106307,good,4.5,,
Gandhi Institute for Education and Technology,Odisha, Khurda,UG,200000,Computer Science and Engineering,487655,1106447,good,4.5,,
Gandhi Institute for Education and Technology,Odisha, Khurda,UG,200000,Electrical and Computer Engineering,1100397,1106490,good,4.5,,
Gandhi Institute for Education and Technology,Odisha, Khurda,UG,200000,Electrical Engineering,1101000,1105713,good,4.5,,
Gandhi Institute for Education and Technology,Odisha, Khurda,UG,200000,Electronics & Communication Engineering,1102858,1106189,good,4.5,,
Gandhi Institute for Education and Technology,Odisha, Khurda,UG,200000,Mechanical Engineering,441660,1106350,good,4.5,,
Gandhi Institute for Technology GIFT,Odisha, Bhubaneswar,UG,200000,Agriculture Engineering,716470,1106567,good,4.5,,
Gandhi Institute for Technology GIFT,Odisha, Bhubaneswar,UG,200000,Computer Science and Engineering,413034,1105706,good,4.5,,
Gandhi Institute for Technology GIFT,Odisha, Bhubaneswar,UG,200000,Mechanical Engineering,829025,829025,good,4.5,,
Gandhi Institute of Advanced Computer and Research,Odisha, Raygada,UG,200000,Mechanical Engineering,1100277,1100277,good,4.5,,
Gandhi Institute of Excellent Technocrats,Odisha, Bhubaneswar,UG,200000,Civil Engineering,1101724,1101724,good,4.5,,
Gandhi Institute of Excellent Technocrats,Odisha, Bhubaneswar,UG,200000,Computer Science and Engineering,679924,1106445,good,4.5,,
Gandhi Institute of Excellent Technocrats,Odisha, Bhubaneswar,UG,200000,Electrical and Electronics Engineering,1021302,1021415,good,4.5,,
Gandhi Institute of Excellent Technocrats,Odisha, Bhubaneswar,UG,200000,Mechanical Engineering,146468,1103761,good,4.5,,
Ghanashyama Hemalata Institute of Technology and Management,Odisha, Bhubaneswar,UG,200000,Electrical Engineering,1102880,1102880,good,4.5,,
GIET University,Odisha, Gunupur,UG,200000,Computer Science and Engineering,849487,849487,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,200000,Civil Engineering,928257,1105823,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,200000,Computer Science & Engineering (Artificail Inteligence),360057,1102810,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,200000,Computer science & Engineering (Data Science),474644,1100754,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,200000,COMPUTER SCIENCE & TECHNOLOGY,639368,1106238,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,200000,Computer Science and Engineering,328519,1105789,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,1000000,Computer Science and Information Technology,428414,1104024,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,1000000,Electrical and Electronics Engineering,943093,943093,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,1000000,Electrical Engineering,890260,890260,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,1000000,Electronics & Communication Engineering,618470,1104084,good,4.5,,
GITA,Odisha, Bhubaneswar,UG,1000000,Mechanical Engineering,826770,1105983,good,4.5,,
Gopal Krushna College of Engineering and Technology,Odisha, Jeypore,UG,160000,Civil Engineering,1101225,1105077,good,4.5,,
Gopal Krushna College of Engineering and Technology,Odisha, Jeypore,UG,160000,Electronics & Telecommunication Engineering,1100775,1103403,good,4.5,,
Gopal Krushna College of Engineering and Technology,Odisha, Jeypore,UG,160000,Mechanical Engineering,1105544,1105544,good,4.5,,
Hi-Tech Institute of Technology,Odisha, Bhubaneswar,UG,220000,Civil Engineering,1102379,1106152,good,4.5,,
Hi-Tech Institute of Technology,Odisha, Bhubaneswar,UG,220000,Computer Science and Engineering,605531,1106119,good,4.5,,
Hi-Tech Institute of Technology,Odisha, Bhubaneswar,UG,220000,Electrical Engineering,1100975,1100975,good,4.5,,
Hi-Tech Institute of Technology,Odisha, Bhubaneswar,UG,220000,Mechanical Engineering,979431,1106340,good,4.5,,
Indotech College of Engineering,Odisha,  KHURDA,UG,220000,Civil Engineering,1101093,1101093,good,4.5,,
Indus College of Engineering,Odisha, Bhubaneswar,UG,220000,Civil Engineering,1104400,1104400,good,4.2,,
Indus College of Engineering,Odisha, Bhubaneswar,UG,220000,Computer Science and Engineering,1102301,1104930,good,4.2,,
Jagannath Institute of Engineering and Technology,Odisha, Cuttack,UG,220000,Computer Science and Engineering,644480,644480,good,4.2,,
Jagannath Institute of Engineering and Technology,Odisha, Cuttack,UG,220000,Mechanical Engineering,1104937,1104937,good,4.2,,
Kalam Institute of Technology,Odisha, Berhampur,UG,220000,Civil Engineering,1105392,1106448,good,4.2,,
Kalam Institute of Technology,Odisha, Berhampur,UG,220000,Computer Science and Engineering,931325,1106187,good,4.2,,
Kalam Institute of Technology,Odisha, Berhampur,UG,220000,Electrical and Electronics Engineering,1101010,1106027,good,4.2,,
Kalam Institute of Technology,Odisha, Berhampur,UG,220000,Mechanical Engineering,491062,1105625,good,4.2,,
KMBB College of Engineering and Technology,Odisha, Khurda,UG,220000,Computer Science and Engineering,540487,1105864,good,4.2,,
KMBB College of Engineering and Technology,Odisha, Khurda,UG,220000,Electrical and Electronics Engineering,679546,679546,good,4.2,,
KMBB College of Engineering and Technology,Odisha, Khurda,UG,220000,Electrical Engineering,1101413,1103389,good,4.2,,
KMBB College of Engineering and Technology,Odisha, Khurda,UG,220000,Electronics & Communication Engineering,1100346,1100346,good,4.2,,
KMBB College of Engineering and Technology,Odisha, Khurda,UG,220000,Mechanical Engineering,1103888,1106039,good,4.2,,
Konark Institute of Science and Technology,Odisha, Bhubaneswar,UG,220000,Civil Engineering,399692,1106057,good,4.2,,
Konark Institute of Science and Technology,Odisha, Bhubaneswar,UG,220000,Computer Science and Engineering,376840,1105814,good,4.2,,
Konark Institute of Science and Technology,Odisha, Bhubaneswar,UG,220000,Electrical Engineering,1101089,1101089,good,4.2,,
Konark Institute of Science and Technology,Odisha, Bhubaneswar,UG,220000,Electronics & Telecommunication Engineering,943697,1106551,good,4.2,,
Konark Institute of Science and Technology,Odisha, Bhubaneswar,UG,220000,Mechanical Engineering,185534,1106441,good,4.2,,
Mahavir Institute of Engineering and Technology,Odisha, Bhubaneswar,UG,220000,Civil Engineering,1102725,1105666,good,4.2,,
Mahavir Institute of Engineering and Technology,Odisha, Bhubaneswar,UG,220000,Computer Science and Engineering,1100999,1100999,good,4.2,,
Mahavir Institute of Engineering and Technology,Odisha, Bhubaneswar,UG,220000,Electronics & Telecommunication Engineering,1102005,1104372,good,4.2,,
Mahavir Institute of Engineering and Technology,Odisha, Bhubaneswar,UG,220000,Information Technology,1103772,1103772,good,4.2,,
Mahavir Institute of Engineering and Technology,Odisha, Bhubaneswar,UG,220000,Mechanical Engineering,1106512,1106512,good,4.2,,
Majhighariani Institute of Technology and Science,Odisha, Rayagada,UG,144000,Electronics & Communication Engineering,1101004,1101004,good,4.2,,
Modern Engineering and Management Studies,Odisha, Balasore,UG,144000,Computer Science and Engineering,738105,1106038,good,4.2,,
Modern Engineering and Management Studies,Odisha, Balasore,UG,144000,Electrical Engineering,1106392,1106392,good,4.2,,
Modern Engineering and Management Studies,Odisha, Balasore,UG,144000,Electronics & Communication Engineering,1102406,1105273,good,4.2,,
Modern Engineering and Management Studies,Odisha, Balasore,UG,144000,Electronics & Instrumentation Engineering,1100861,1104373,good,4.2,,
Modern Institute of Technology and Management,Odisha, Bhubaneswar,UG,144000,Civil Engineering,1103925,1103925,good,4.2,,
Modern Institute of Technology and Management,Odisha, Bhubaneswar,UG,144000,Computer Science and Engineering,870242,1105670,good,4.2,,
Modern Institute of Technology and Management,Odisha, Bhubaneswar,UG,144000,Electronics & Communication Engineering,1105008,1105008,good,4.2,,
Modern Institute of Technology and Management,Odisha, Bhubaneswar,UG,144000,Mechanical Engineering,1106579,1106579,good,4.2,,
Nalanda Institute of Technology,Odisha, Bhubaneswar,UG,144000,Civil Engineering,762002,1106415,good,4.2,,
Nalanda Institute of Technology,Odisha, Bhubaneswar,UG,144000,Computer Science and Engineering,475343,1105925,good,4.2,,
Nalanda Institute of Technology,Odisha, Bhubaneswar,UG,144000,Electrical Engineering,836779,1106525,good,4.2,,
Nalanda Institute of Technology,Odisha, Bhubaneswar,UG,144000,Mechanical Engineering,727698,1106550,good,4.2,,
